Latitude,Longitude,City,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed
-17.57,-87.17,lima,PE,2021-01-13 10:32:08,19.72,88.0,40.0,3.6
-47.27,171.38,dunedin,NZ,2021-01-13 10:34:41,15.0,88.0,15.0,3.13
42.63,40.44,pitsunda,GE,2021-01-13 10:34:42,19.41,40.0,90.0,7.0
-20.43,143.81,charters towers,AU,2021-01-13 10:34:42,24.98,83.0,76.0,5.45
65.68,3.12,raudeberg,NO,2021-01-13 10:34:44,-0.56,73.0,0.0,5.76
24.94,82.03,naigarhi,IN,2021-01-13 10:34:44,19.28,27.0,0.0,3.29
15.43,79.35,kanigiri,IN,2021-01-13 10:34:45,28.27,55.0,72.0,5.69
53.84,-13.84,dingle,PH,2021-01-13 10:34:45,24.25,82.0,100.0,4.48
3.1,3.34,lagos,NG,2021-01-13 10:32:12,29.0,79.0,75.0,4.12
2.93,-56.35,grand-santi,GF,2021-01-13 10:34:47,22.58,96.0,70.0,1.09
36.85,30.9,serik,TR,2021-01-13 10:34:48,19.3,68.0,75.0,5.66
16.91,21.84,biltine,TD,2021-01-13 10:34:49,32.72,10.0,0.0,0.9
43.84,-69.68,bath,GB,2021-01-13 10:32:26,8.86,100.0,100.0,9.11
12.18,-163.64,makakilo city,US,2021-01-13 10:34:50,24.33,73.0,75.0,4.12
-46.31,80.45,mahebourg,MU,2021-01-13 10:34:51,29.0,70.0,40.0,6.17
56.54,-114.9,slave lake,CA,2021-01-13 10:34:51,-7.0,86.0,100.0,1.54
-40.75,-65.1,puerto madryn,AR,2021-01-13 10:34:22,17.96,54.0,0.0,6.5
54.4,-102.2,flin flon,CA,2021-01-13 10:34:54,-6.91,97.0,86.0,2.14
45.37,-138.02,prince rupert,CA,2021-01-13 10:31:48,3.5,93.0,90.0,3.09
37.54,117.23,binzhou,CN,2021-01-13 10:34:55,1.13,75.0,0.0,3.42
-1.9,116.42,balikpapan,ID,2021-01-13 10:34:56,28.0,100.0,40.0,1.03
9.44,-78.4,tigre,AR,2021-01-13 10:34:56,18.89,72.0,0.0,3.09
56.44,-141.68,haines junction,CA,2021-01-13 10:34:58,-13.0,92.0,100.0,0.51
-16.08,139.47,alyangula,AU,2021-01-13 10:34:58,28.0,83.0,94.0,1.54
-20.8,-167.95,alofi,NU,2021-01-13 10:34:59,25.0,94.0,100.0,2.06
51.09,78.02,aksu,CN,2021-01-13 10:34:59,-2.25,67.0,0.0,2.38
48.77,-98.74,devils lake,US,2021-01-13 10:31:14,-1.83,86.0,90.0,2.06
48.89,3.89,epernay,FR,2021-01-13 10:35:01,2.67,100.0,90.0,0.51
74.27,179.77,leningradskiy,RU,2021-01-13 10:35:02,-26.23,86.0,100.0,5.54
19.13,-56.23,codrington,AU,2021-01-13 10:35:02,14.73,79.0,59.0,6.14
57.97,83.1,kolpashevo,RU,2021-01-13 10:35:03,-29.51,87.0,9.0,2.57
69.68,136.47,ust-kuyga,RU,2021-01-13 10:35:04,-38.17,75.0,78.0,1.69
14.87,61.09,salalah,OM,2021-01-13 10:32:40,28.0,20.0,0.0,9.26
-4.66,155.83,kieta,PG,2021-01-13 10:35:05,27.14,73.0,70.0,2.27
6.45,99.41,kuah,MY,2021-01-13 10:35:05,28.95,70.0,40.0,4.12
28.43,90.23,gasa,PS,2021-01-13 10:31:28,24.06,34.0,100.0,2.24
64.81,96.81,baykit,RU,2021-01-13 10:35:07,-26.87,84.0,100.0,1.48
6.56,-27.26,sao filipe,CV,2021-01-13 10:35:07,21.98,73.0,22.0,5.25
70.55,-55.47,upernavik,GL,2021-01-13 10:35:08,-11.06,96.0,100.0,8.9
25.97,68.65,shahdadpur,PK,2021-01-13 10:35:09,25.0,23.0,0.0,3.09
54.94,-176.08,provideniya,RU,2021-01-13 10:35:09,-20.03,84.0,100.0,3.66
-10.82,-77.07,oyon,PE,2021-01-13 10:35:10,7.09,73.0,80.0,2.47
49.7,125.92,nenjiang,CN,2021-01-13 10:35:11,-23.25,89.0,94.0,2.51
47.78,123.58,gannan,CN,2021-01-13 10:35:11,-16.26,90.0,94.0,2.32
13.22,-67.24,rincon,US,2021-01-13 10:35:12,8.12,71.0,90.0,3.6
-30.1,4.46,luderitz,NA,2021-01-13 10:35:13,22.38,65.0,25.0,4.97
-38.67,150.55,lakes entrance,AU,2021-01-13 10:35:14,22.78,72.0,87.0,3.1
8.68,-75.14,san marcos,US,2021-01-13 10:35:14,9.96,43.0,1.0,1.54
-27.56,-22.1,vila velha,BR,2021-01-13 10:31:28,24.61,78.0,20.0,2.57
4.67,-13.37,mattru,SL,2021-01-13 10:35:16,28.42,68.0,69.0,1.06
56.69,-127.07,smithers,CA,2021-01-13 10:35:16,-7.0,93.0,75.0,0.64
-36.66,176.97,tairua,NZ,2021-01-13 10:35:17,20.56,80.0,48.0,4.02
45.96,110.35,darhan,MN,2021-01-13 10:34:29,-20.61,86.0,82.0,0.11
43.64,140.35,yoichi,JP,2021-01-13 10:35:18,-1.0,93.0,75.0,1.54
23.74,-93.01,celestun,MX,2021-01-13 10:35:19,21.14,93.0,61.0,3.09
-27.89,43.6,beloha,MG,2021-01-13 10:35:20,35.84,35.0,0.0,6.58
55.97,-140.08,sitka,US,2021-01-13 10:35:20,2.0,93.0,90.0,3.6
68.37,-66.4,pangnirtung,CA,2021-01-13 10:35:21,-21.83,80.0,4.0,1.42
-42.31,-61.68,viedma,AR,2021-01-13 10:35:22,20.04,36.0,10.0,6.01
35.45,42.44,sinjar,IQ,2021-01-13 10:34:25,14.14,42.0,100.0,4.7
17.27,101.78,wang saphung,TH,2021-01-13 10:35:23,24.99,38.0,0.0,1.03
47.43,119.31,hailar,CN,2021-01-13 10:35:24,-23.88,90.0,100.0,2.83
1.49,-61.56,boa vista,BR,2021-01-13 10:35:25,25.0,78.0,90.0,4.63
28.3,40.7,sakakah,SA,2021-01-13 10:35:26,21.0,19.0,0.0,6.17
4.76,113.41,miri,MY,2021-01-13 10:32:18,26.84,94.0,40.0,2.06
5.17,30.38,maridi,SS,2021-01-13 10:35:28,36.48,16.0,58.0,2.47
49.08,58.38,emba,KZ,2021-01-13 10:35:28,-15.48,90.0,49.0,2.67
33.58,-26.05,ponta delgada,PT,2021-01-13 10:31:00,15.0,100.0,40.0,1.54
18.66,71.32,bombay,IN,2021-01-13 10:32:23,31.52,40.0,40.0,3.6
-15.83,-39.05,belmonte,BR,2021-01-13 10:35:30,23.0,88.0,40.0,2.06
6.07,-60.15,bartica,GY,2021-01-13 10:35:31,23.0,94.0,75.0,1.03
24.13,31.75,aswan,EG,2021-01-13 10:35:31,27.36,18.0,77.0,2.48
